token,Happiness Score
after,5.4
practice,
disaster,
lowly,
li,
snaps,
back,4.84
at,4.9
fans,6.58
as,5.2
lowry,
endures,
another,5.7
difficult,
day,6.48
harry,6.08
brook,
reiterates,
support,6.28
for,5.32
brendon,
mccullum,
after,5.4
england,
s,5.02
world,6.84
cup,
exit,
england,
fall,4.56
just,5.54
short,
against,
india,6.1
in,5.76
epic,
world,6.84
cup,
semi,
final,5.22
as,5.2
it,5.46
happened,
wales,
can,5.92
fly,
against,
ireland,
if,5.2
they,5.62
dump,
their,5.46
six,
nations,
baggage,
that,5.34
person,5.54
has,5.52
gone,
lewis,
hamilton,
ditches,
despair,
for,5.32
feelgood,
ferrari,
reboot,
toughest,
italy,
test,5.5
can,5.92
be,5.66
defining,
moment,5.88
for,5.32
england,
says,5.66
jamie,
george,5.5
india,6.1
hold,
off,4.0
brave,
england,
and,5.4
brilliant,
bethell,
to,4.84
reach,
world,6.84
cup,
final,5.22
seven,
countries,
to,4.84
boycott,
paralympics,
ceremony,
over,4.2
flag,
flying,
russians,
jennifer,
shahade,
there,5.48
s,5.02
a,5.26
long,5.68
and,5.4
embedded,
history,
of,4.82
abuse,
in,5.76
chess,
winter,
paralympics,
latest,
medal,
table,
for,5.32
milano,
cortina,
winter,
paralympics,
results,
from,5.66
milano,
cortina,
from,5.66
a,5.26
time,5.76
world,6.84
champ,
to,4.84
monster,5.06
mike,
us,5.94
athletes,
to,4.84
watch,6.18
at,4.9
the,5.2
winter,
paralympics,
emma,
raducanu,
hopes,
to,4.84
rediscover,
natural,7.24
style,6.52
that,5.34
has,5.52
been,5.44
coached,
out,4.12
of,4.82
me,6.0
from,5.66
bupkis,
to,4.84
blockbuster,
has,5.52
the,5.2
world,6.84
baseball,
classic,
finally,
arrived,
oscar,5.96
piastri,
is,5.34
hungry,
for,5.32
formula,5.72
one,5.8
title,6.24
but,4.66
won,
t,4.9
be,5.66
rebellious,
aston,
martin,5.72
reveal,
fears,
over,4.2
nerve,
damage,
will,6.18
prevent,
team,6.4
from,5.66
finishing,
australian,
gp,
it,5.46
s,5.02
a,5.26
generous,
deal,
mcilroy,
s,5.02
surprise,
at,4.9
rahm,
not,3.88
accepting,
dp,
world,6.84
tour,7.08
offer,
lou,
holtz,
legendary,
college,
football,
coach,
and,5.4
broadcaster,
dies,
at,4.9
age,5.6
of,4.82
new,7.06
zealand,
demolish,
south,5.92
africa,5.96
to,4.84
reach,
world,6.84
cup,
cricket,
final,5.22
as,5.2
it,5.46
happened,
finn,
allen,
s,5.02
record,6.42
ton,
blasts,
new,7.06
zealand,
past,
south,5.92
africa,5.96
into,5.32
world,6.84
cup,
final,5.22
formula,5.72
one,5.8
team,6.4
by,5.28
team,6.4
guide,
to,4.84
the,5.2
cars,
and,5.4
drivers,5.64
why,4.48
norway,
beats,
us,5.94
hollow,
at,4.9
sport,6.92
letters,
scotland,
hoping,
to,4.84
party,8.0
like,7.26
it,5.46
s,5.02
and,5.4
thwart,
france,6.66
s,5.02
title,6.24
ambitions,
harry,6.08
brook,
backs,
awesome,7.54
england,
to,4.84
find,6.12
a,5.26
way,5.72
past,
india,6.1
into,5.32
world,6.84
cup,
final,5.22
dennis,
cometti,
was,4.84
erudite,
funny,7.66
and,5.4
engaging,
his,5.32
witticisms,
could,5.66
fill,
a,5.26
library,
jonathan,
horn,
the,5.2
spin,
going,6.02
for,5.32
gold,7.26
why,4.48
china,5.68
s,5.02
female,
cricketers,
may,5.72
benefit,
from,5.66
olympic,
aim,
burner,
account,
or,5.24
not,3.88
kevin,5.34
durant,
is,5.34
bitter,
petty,
and,5.4
entirely,
relatable,
borthwick,
s,5.02
six,
nations,
spring,
clean,
makes,5.88
a,5.26
fresher,
looking,6.08
mix,
but,4.66
raises,
questions,
over,4.2
logic,
robert,5.5
kitson,
winter,
paralympics,
who,5.14
are,5.46
australia,6.76
s,5.02
top,6.44
medal,
contenders,
kieran,
pender,
from,5.66
the,5.2
pocket,5.68
afl,
s,5.02
final,5.22
siren,
documentary,
is,5.34
slick,
but,4.66
forgettable,
dennis,
cometti,
australian,
sports,
commentary,
great,7.36
dies,
aged,
nrl,
the,5.2
big,6.66
questions,
to,4.84
be,5.66
answered,
over,4.2
the,5.2
course,
of,4.82
the,5.2
season,
jack,5.52
snape,
borthwick,
says,5.66
england,
failed,
to,4.84
meet,6.3
unwavering,
standards,
after,5.4
axing,
players,
we,5.96
back,4.84
ourselves,
in,5.76
one,5.8
offs,
black,5.58
caps,
plan,6.3
revenge,
against,
south,5.92
africa,5.96
racing,6.5
s,5.02
crisis,2.5
intensifies,
with,5.94
tracks,
on,6.1
verge,
of,4.82
civil,5.66
war,2.04
after,5.4
allen,
quits,
bha,
jon,
rahm,
accuses,
dp,
world,6.84
tour,7.08
of,4.82
extorting,
players,
by,5.28
issuing,
liv,
fines,5.88
inside,
cadillac,
s,5.02
journey,
our,5.92
silverstone,
shakedown,
was,4.84
a,5.26
miracle,
afl,
predicted,
ladder,
part,4.98
three,
brisbane,
s,5.02
best,7.72
may,5.72
be,5.66
yet,
to,4.84
come,6.74
sam,
curran,
insists,
india,6.1
world,6.84
cup,
semi,
final,5.22
holds,
no,3.34
fear,
for,5.32
england,
the,5.2
breakdown,
again,5.72
we,5.96
dare,5.76
to,4.84
wonder,
if,5.2
this,5.38
is,5.34
italy,
s,5.02
time,5.76
because,5.52
england,
s,5.02
confidence,
looks,
shot,5.36
nfl,5.8
offseason,
storylines,
pro,6.34
bowler,
trades,
the,5.2
draft,
and,5.4
some,5.76
big,6.66
quarterback,
moves,
luke,
kornet,
says,5.66
atlanta,
hawks,
theme,5.86
night,7.06
with,5.94
strip,
club,6.44
magic,
city,6.62
objectifies,
women,
hilary,
knight,
won,
olympic,
ice,
hockey,
gold,7.26
with,5.94
torn,
mcl,
i,5.12
m,4.76
not,3.88
walking,
around,5.74
the,5.2
best,7.72
borthwick,
plans,
england,
overhaul,
with,5.94
fin,4.22
smith,
expected,
to,4.84
start,6.54
against,
italy,
lord,
allen,
to,4.84
become,
latest,
casualty,
of,4.82
horse,
racing,6.5
s,5.02
intractable,
politics,
afl,
predicted,
ladder,
part,4.98
two,5.72
history,
suggests,
geelong,
may,5.72
struggle,
we,5.96
have,6.12
to,4.84
take,5.78
bold,
decisions,
williams,
chief,
james,5.74
vowles,
on,6.1
hopes,
and,5.4
title,6.24
dreams,7.9
formula,5.72
one,5.8
s,5.02
australian,
grand,6.16
prix,
hit,5.6
by,5.28
travel,7.38
chaos,
amid,
middle,
east,
crisis,2.5
is,5.34
the,5.2
magic,
number,5.74
promoted,
trio,
make,6.08
instant,
super,7.26
league,
impact,
andrew,
dillon,
reveals,
afl,
s,5.02
olympic,
sized,
ambitions,
for,5.32
brisbane,
strongman,
samson,
takes,
india,6.1
past,
west,
indies,
to,4.84
set,5.66
up,6.08
england,
semi,
final,5.22
us,5.94
half,
marathon,
championship,
ends,
in,5.76
chaos,
as,5.2
lead,
runners,
guided,
in,5.76
wrong,3.16
direction,5.44
afl,
predicted,
ladder,
part,4.98
one,5.8
collingwood,
on,6.1
a,5.26
cliff,
edge,
as,5.2
time,5.76
waits,
for,5.32
no,3.34
one,5.8
jonathan,
horn,
us,5.94
hockey,
star,6.7
hilary,
knight,
hits,6.48
back,4.84
at,4.9
trump,
s,5.02
joke,
about,5.38
women,
s,5.02
team,6.4
during,
snl,
skit,
australia,6.76
hammer,
india,6.1
by,5.28
runs,
in,5.76
third,
women,
s,5.02
one,5.8
day,6.48
cricket,
international,7.08
as,5.2
it,5.46
happened,
the,5.2
ultimate,
breakdown,
everything,6.52
you,6.58
need,5.44
to,4.84
know,6.26
about,5.38
s,5.02
new,7.06
regulations,
for,5.32
leeds,
maika,
sivo,
stars,
in,5.76
demolition,
of,4.82
hull,
kr,
in,5.76
las,5.1
vegas,6.62
formula,5.72
one,5.8
to,4.84
revise,
controversial,
rule,
at,4.9
centre,
of,4.82
mercedes,6.38
engine,
row,
oleksandr,
usyk,
to,4.84
defend,
title,6.24
against,
kickboxer,
at,4.9
pyramids,
of,4.82
giza,
in,5.76
egypt,
already,6.46
on,6.1
the,5.2
plane,
or,5.24
left,
at,4.9
home,7.5
how,5.64
england,
s,5.02
rugby,
world,6.84
cup,
squad,
is,5.34
shaping,
up,6.08
i,5.12
know,6.26
i,5.12
can,5.92
do,5.66
it,5.46
again,5.72
lando,
norris,
on,6.1
proving,
himself,
against,
the,5.2
best,7.72
in,5.76
winter,
paralympics,
walks,
tightrope,
as,5.2
russia,
s,5.02
inclusion,
risks,
ceremony,
boycott,
jacks,
and,5.4
ahmed,
find,6.12
dramatic,
late,5.6
blitz,
to,4.84
earn,
england,
unlikely,
win,7.6
over,4.2
new,7.06
zealand,
england,
beat,
new,7.06
zealand,
by,5.28
four,
wickets,
cricket,
world,6.84
cup,
super,7.26
as,5.2
it,5.46
happened,
perfect,7.86
pitches,
for,5.32
historic,
matches,
letters,
promotion,
and,5.4
relegation,
from,5.66
prem,
to,4.84
be,5.66
scrapped,
as,5.2
rugby,
moves,
to,4.84
franchise,
model,
cheltenham,
hopeful,
of,4.82
ticket,
sale,5.96
turnaround,
for,5.32
festival,7.62
after,5.4
three,
years,6.16
of,4.82
decline,
premier,
league,
action,
and,5.4
a,5.26
crucial,
derby,
for,5.32
rangers,
and,5.4
celtic,
follow,6.14
with,5.94
us,5.94
super,7.26
league,
is,5.34
nrl,
s,5.02
secret,
weapon,
as,5.2
english,6.58
fans,6.58
head,5.9
to,4.84
vegas,6.62
baseball,
should,4.86
be,5.66
riding,
high,6.58
instead,
the,5.2
salary,
cap,5.14
debate,5.66
has,5.52
it,5.46
gearing,
up,6.08
for,5.32
war,2.04
howard,
bryant,
georgia,5.68
voll,
powers,
australia,6.76
to,4.84
series,6.52
clinching,
victory,
over,4.2
india,6.1
in,5.76
second,
women,
s,5.02
cricket,
odi,
as,5.2
it,5.46
happened,
trump,
says,5.66
he,5.36
is,5.34
a,5.26
savior,
of,4.82
women,
s,5.02
sports,
his,5.32
ice,
hockey,
joke,
showed,
what,5.16
he,5.36
really,6.62
thinks,
austin,
killips,
sports,
quiz,
of,4.82
the,5.2
week,6.16
olympic,
heroes,
world,6.84
champions,
and,5.4
norwegian,
stars,
chess,
british,
players,
win,7.6
isle,
of,4.82
wight,
masters,6.7
as,5.2
scots,
achieve,
rare,
double,
birmingham,
city,6.62
s,5.02
owners,
explore,
moving,
into,5.32
rugby,
union,7.14
and,5.4
buying,
prem,
franchise,
brady,
tkachuk,
decries,
white,6.1
house,6.92
s,5.02
ai,5.16
video,6.7
of,4.82
him,5.46
insulting,
canadians,
after,5.4
us,5.94
gold,7.26
golfer,
andrea,6.44
pavan,
thankful,
to,4.84
be,5.66
alive,
after,5.4
reportedly,
falling,
down,3.7
lift,
shaft,
he,5.36
s,5.02
doing,6.08
all,6.34
he,5.36
can,5.92
england,
back,4.84
buttler,
to,4.84
end,4.08
miserable,
run,6.48
of,4.82
form,
the,5.2
indiana,
bears,
why,4.48
an,5.08
interstate,
move,
for,5.32
a,5.26
cherished,
nfl,5.8
team,6.4
may,5.72
work,6.14
out,4.12
norway,
s,5.02
all,6.34
conquering,
winter,
olympians,
have,6.12
a,5.26
message,6.32
for,5.32
us,5.94
all,6.34
and,5.4
it,5.46
s,5.02
not,3.88
what,5.16
you,6.58
think,6.42
cath,
bishop,
us,5.94
hockey,
star,6.7
hilary,
knight,
responds,
to,4.84
trump,
s,5.02
distasteful,
joke,
about,5.38
women,
s,5.02
team,6.4
saracens,
salary,
cap,5.14
penalty,
under,4.6
scrutiny,
over,4.2
conflict,
of,4.82
interest,
claims,
english,6.58
cricket,
s,5.02
hunger,
for,5.32
indian,
money,7.1
has,5.52
led,
it,5.46
into,5.32
a,5.26
moral,6.32
and,5.4
legal,5.78
minefield,
barney,
ronay,
steve,
borthwick,
turns,
to,4.84
world,6.84
cup,
heroes,
for,5.32
six,
nations,
inspiration,7.9
breakaway,
union,7.14
stands,
behind,
tara,
moore,
s,5.02
legal,5.78
battle,
against,
wta,
constitution,
hill,
out,4.12
of,4.82
champion,
hurdle,
and,5.4
ready,6.52
for,5.32
next,6.04
chapter,6.22
on,6.1
the,5.2
flat,
mps,
back,4.84
uk,6.12
broadcasters,
in,5.76
push,
to,4.84
expand,
sport,6.92
s,5.02
free,7.84
to,4.84
air,6.62
crown,
jewels,
the,5.2
us,5.94
men,6.34
s,5.02
hockey,
team,6.4
at,4.9
the,5.2
state,
of,4.82
the,5.2
union,7.14
showed,
proximity,
to,4.84
trump,
is,5.34
never,3.76
neutral,
among,
the,5.2
gangsters,
gamblers,
and,5.4
high,6.58
rollers,
a,5.26
master,6.86
bookie,
s,5.02
life,7.52
in,5.76
las,5.1
vegas,6.62
the,5.2
spin,
zimbabwean,
breakout,
at,4.9
world,6.84
cup,
has,5.52
fans,6.58
rejoicing,
renaissance,
craig,
tiley,
departs,
australia,6.76
having,5.88
indelibly,
changed,
the,5.2
tennis,
landscape,
from,5.66
the,5.2
pocket,5.68
charlie,
curnow,
was,4.84
let,5.54
off,4.0
too,5.8
easily,
for,5.32
jumping,
ship,
us,5.94
men,6.34
s,5.02
hockey,
team,6.4
visit,6.32
white,6.1
house,6.92
as,5.2
some,5.76
players,
with,5.94
minnesota,
ties,
stay,5.78
away,4.46
harry,6.08
brook,
relieved,
to,4.84
lead,
england,
into,5.32
last,4.54
four,
after,5.4
the,5.2
hardest,
winter,
of,4.82
my,5.98
life,7.52
england,
edge,
past,
pakistan,
cricket,
world,6.84
cup,
super,7.26
as,5.2
it,5.46
happened,
harry,6.08
brook,
s,5.02
ball,6.2
century,
blazes,
england,
past,
pakistan,
into,5.32
world,6.84
cup,
semi,
finals,
us,5.94
hockey,
was,4.84
bathed,
in,5.76
a,5.26
golden,
olympic,
glow,
then,5.4
donald,
trump,
and,5.4
kash,
patel,
stepped,
in,5.76
beau,
dure,5.7
i,5.12
felt,
tears,
welling,
in,5.76
my,5.98
eyes,6.74
our,5.92
readers,
winter,
olympics,
highlights,
the,5.2
breakdown,
six,
nations,
half,
term,
report,5.2
france,6.66
are,5.46
flying,
while,5.34
england,
s,5.02
decline,
is,5.34
steep,
if,5.2
you,6.58
think,6.42
politics,
shaped,
these,
winter,
olympics,
