token,Rank,Word in English,score,Standard Deviation of Ratings
as,7720,ace,5.2,0.9476
over,9221,over,4.2,1.5649
if,7721,if,5.2,0.9476
i,7992,i,5.12,0.5938
go,3027,go,6.34,1.3032
home,508,home,7.5,1.4321
we,4698,we,5.96,1.5513
don,3568,gift,6.22,1.5158
t,8488,t,4.9,1.1473
have,3975,have,6.12,1.2558
money,1026,money,7.1,1.594
the,7738,the,5.2,0.4518
up,4092,up,6.08,1.1925
in,5638,in,5.76,1.1704
the,7738,the,5.2,0.4518
war,9970,war,2.04,1.6777
on,4026,on,6.1,1.1995
in,5638,in,5.76,1.1704
on,4026,on,6.1,1.1995
health,643,health,7.38,1.1761
as,7720,ace,5.2,0.9476
it,6908,it,5.46,0.9082
my,4590,my,5.98,1.2534
live,1062,live,7.1,1.1995
of,8632,of,4.82,1.207
world,1577,world,6.84,1.3456
s,8214,s,5.02,0.5147
and,7113,and,5.4,0.9897
her,5154,her,5.86,1.143
new,1136,new,7.06,1.4057
war,9970,war,2.04,1.6777
of,8632,of,4.82,1.207
over,9221,over,4.2,1.5649
gold,802,gold,7.26,1.7001
and,7113,and,5.4,0.9897
antonio,5858,Anthony,5.7,1.4178
is,7326,is,5.34,0.6581
more,3038,more,6.34,1.1886
in,5638,in,5.76,1.1704
face,1471,face,6.88,1.2558
of,8632,of,4.82,1.207
us,4778,us,5.94,1.634
us,4778,us,5.94,1.634
into,7402,into,5.32,0.8908
to,8622,to,4.84,0.9971
say,5334,say,5.82,1.0631
in,5638,in,5.76,1.1704
uk,3985,uk,6.12,1.6368
tell,6136,tell,5.66,0.9817
that,7331,That,5.34,0.8478
war,9970,war,2.04,1.6777
will,3693,will,6.18,1.4241
only,8003,only,5.1,1.4743
night,1130,night,7.06,1.2521
of,8632,of,4.82,1.207
us,4778,us,5.94,1.634
about,7168,acerca,5.38,0.8303
more,3038,more,6.34,1.1886
to,8622,to,4.84,0.9971
come,1787,eat,6.74,1.209
it,6908,it,5.46,0.9082
s,8214,s,5.02,0.5147
not,9400,not,3.88,1.5471
just,6580,just,5.54,1.2488
who,7922,who,5.14,0.8332
to,8622,to,4.84,0.9971
must,7561,must,5.26,1.0654
end,9287,end,4.08,1.5628
all,3050,all,6.34,1.5066
in,5638,in,5.76,1.1704
the,7738,the,5.2,0.4518
us,4778,us,5.94,1.634
israel,7820,Israel,5.18,1.6499
war,9970,war,2.04,1.6777
on,4026,on,6.1,1.1995
shots,6126,shots,5.66,1.6364
at,8481,at,4.9,1.233
us,4778,us,5.94,1.634
in,5638,in,5.76,1.1704
canada,1047,canada,7.1,1.5017
in,5638,in,5.76,1.1704
what,7863,what,5.16,1.0947
call,5403,call,5.8,1.2936
national,4200,national,6.06,1.4057
security,2521,security,6.5,1.488
how,6150,how,5.64,1.2249
are,6907,are,5.46,0.9941
eu,6434,eu,5.58,1.4299
and,7113,and,5.4,0.9897
member,4628,member,5.98,1.1516
states,6824,states,5.48,1.313
to,8622,to,4.84,0.9971
crisis,9907,crisis,2.5,1.7053
by,7502,by,5.28,0.8581
war,9970,war,2.04,1.6777
on,4026,on,6.1,1.1995
the,7738,the,5.2,0.4518
to,8622,to,4.84,0.9971
be,6108,be,5.66,1.3188
for,7412,for,5.32,1.6092
the,7738,the,5.2,0.4518
family,407,family,7.58,1.7034
of,8632,of,4.82,1.207
it,6908,it,5.46,0.9082
could,6101,Could,5.66,1.1886
have,3975,have,6.12,1.2558
of,8632,of,4.82,1.207
most,3957,Most,6.12,1.1364
day,2621,day,6.48,1.313
of,8632,of,4.82,1.207
us,4778,us,5.94,1.634
on,4026,on,6.1,1.1995
spain,2800,spain,6.42,1.5661
to,8622,to,4.84,0.9971
by,7502,by,5.28,0.8581
franco,2277,frank,6.56,1.58
the,7738,the,5.2,0.4518
dragon,2055,dragon,6.64,1.663
why,9046,why,4.48,1.1822
has,6624,have,5.52,1.2656
it,6908,it,5.46,0.9082
so,7403,SW,5.32,0.9355
long,5964,long,5.68,1.3619
to,8622,to,4.84,0.9971
get,4500,get,6.0,1.5908
a,7551,to,5.26,0.8762
uk,3985,uk,6.12,1.6368
to,8622,to,4.84,0.9971
uruguay,4580,Uruguay,5.98,1.4776
s,8214,s,5.02,0.5147
to,8622,to,4.84,0.9971
life,473,life,7.52,1.4602
as,7720,ace,5.2,0.9476
the,7738,the,5.2,0.4518
once,4439,eleven,6.02,1.3323
musical,463,musical,7.54,1.1988
back,8595,back,4.84,1.1843
s,8214,s,5.02,0.5147
free,197,free,7.84,1.2993
of,8632,of,4.82,1.207
to,8622,to,4.84,0.9971
in,5638,in,5.76,1.1704
of,8632,of,4.82,1.207
the,7738,the,5.2,0.4518
debate,6095,debate,5.66,1.5334
about,7168,acerca,5.38,0.8303
who,7922,who,5.14,0.8332
can,4820,dog,5.92,1.2262
and,7113,and,5.4,0.9897
can,4820,dog,5.92,1.2262
t,8488,t,4.9,1.1473
in,5638,in,5.76,1.1704
the,7738,the,5.2,0.4518
uk,3985,uk,6.12,1.6368
familiar,609,family,7.4,1.6036
how,6150,how,5.64,1.2249
the,7738,the,5.2,0.4518
us,4778,us,5.94,1.634
war,9970,war,2.04,1.6777
in,5638,in,5.76,1.1704
s,8214,s,5.02,0.5147
of,8632,of,4.82,1.207
of,8632,of,4.82,1.207
s,8214,s,5.02,0.5147
to,8622,to,4.84,0.9971
have,3975,have,6.12,1.2558
and,7113,and,5.4,0.9897
as,7720,ace,5.2,0.9476
it,6908,it,5.46,0.9082
new,1136,new,7.06,1.4057
world,1577,world,6.84,1.3456
s,8214,s,5.02,0.5147
best,281,best,7.72,1.2129
but,8874,but,4.66,1.0224
says,6092,says,5.66,0.9817
war,9970,war,2.04,1.6777
is,7326,is,5.34,0.6581
very,3265,very,6.3,1.2657
pretty,246,pretty,7.76,1.2545
much,3390,much,6.26,0.8992
as,7720,ace,5.2,0.9476
and,7113,and,5.4,0.9897
says,6092,says,5.66,0.9817
war,9970,war,2.04,1.6777
but,8874,but,4.66,1.0224
not,9400,not,3.88,1.5471
s,8214,s,5.02,0.5147
war,9970,war,2.04,1.6777
will,3693,will,6.18,1.4241
north,4470,north,6.0,1.1952
s,8214,s,5.02,0.5147
view,4748,view,5.94,0.8184
that,7331,That,5.34,0.8478
are,6907,are,5.46,0.9941
the,7738,the,5.2,0.4518
only,8003,only,5.1,1.4743
to,8622,to,4.84,0.9971
security,2521,security,6.5,1.488
war,9970,war,2.04,1.6777
set,6047,set,5.66,1.1178
to,8622,to,4.84,0.9971
related,5391,related,5.8,0.9897
following,3084,Following,6.34,1.2554
call,5403,call,5.8,1.2936
we,4698,we,5.96,1.5513
we,4698,we,5.96,1.5513
were,8027,were,5.1,1.0351
in,5638,in,5.76,1.1704
after,7120,after,5.4,1.5253
away,9051,away,4.46,1.5546
a,7551,to,5.26,0.8762
country,3541,country,6.22,1.1657
media,4534,average,6.0,1.1066
show,788,show,7.26,1.1214
as,7720,ace,5.2,0.9476
online,1214,online,7.0,1.2778
will,3693,will,6.18,1.4241
by,7502,by,5.28,0.8581
after,7120,after,5.4,1.5253
s,8214,s,5.02,0.5147
new,1136,new,7.06,1.4057
to,8622,to,4.84,0.9971
crisis,9907,crisis,2.5,1.7053
us,4778,us,5.94,1.634
service,4435,service,6.02,1.1337
member,4628,member,5.98,1.1516
in,5638,in,5.76,1.1704
war,9970,war,2.04,1.6777
with,4746,with,5.94,1.0382
tells,6574,tells,5.54,0.7879
stop,8772,stop,4.74,1.2906
from,6107,from,5.66,1.1886
the,7738,the,5.2,0.4518
us,4778,us,5.94,1.634
to,8622,to,4.84,0.9971
mexico,94,mexico,8.04,1.293
david,7317,david,5.34,1.0616
to,8622,to,4.84,0.9971
us,4778,us,5.94,1.634
bases,5414,basis,5.8,1.178
in,5638,in,5.76,1.1704
says,6092,says,5.66,0.9817
von,7118,von,5.4,0.9035
der,8042,der,5.1,0.9091
for,7412,for,5.32,1.6092
eu,6434,eu,5.58,1.4299
policy,8794,policy,4.72,1.4714
to,8622,to,4.84,0.9971
be,6108,be,5.66,1.3188
more,3038,more,6.34,1.1886
and,7113,and,5.4,0.9897
ready,2459,ready,6.52,1.4602
to,8622,to,4.84,0.9971
take,5568,take,5.78,1.1301
over,9221,over,4.2,1.5649
of,8632,of,4.82,1.207
war,9970,war,2.04,1.6777
hope,503,hope,7.5,1.4463
and,7113,and,5.4,0.9897
with,4746,with,5.94,1.0382
those,7077,Those,5.4,0.9258
trying,3645,trying,6.2,1.4142
to,8622,to,4.84,0.9971
stay,5496,stay,5.78,1.6573
in,5638,in,5.76,1.1704
ready,2459,ready,6.52,1.4602
to,8622,to,4.84,0.9971
uk,3985,uk,6.12,1.6368
over,9221,over,4.2,1.5649
from,6107,from,5.66,1.1886
sale,4735,out,5.96,1.1945
s,8214,s,5.02,0.5147
mayor,3223,higher,6.3,1.3286
in,5638,in,5.76,1.1704
for,7412,for,5.32,1.6092
mass,5876,mass,5.7,1.3439
as,7720,ace,5.2,0.9476
for,7412,for,5.32,1.6092
as,7720,ace,5.2,0.9476
win,391,win,7.6,1.3248
in,5638,in,5.76,1.1704
car,1827,car,6.74,1.3674
video,1927,video,6.7,1.1995
us,4778,us,5.94,1.634
hit,6299,hit,5.6,1.5386
base,6879,base,5.46,1.0343
next,4318,next,6.04,1.1599
to,8622,to,4.84,0.9971
school,2687,school,6.46,1.5012
s,8214,s,5.02,0.5147
son,5201,are,5.84,1.1132
as,7720,ace,5.2,0.9476
s,8214,s,5.02,0.5147
new,1136,new,7.06,1.4057
how,6150,how,5.64,1.2249
are,6907,are,5.46,0.9941
with,4746,with,5.94,1.0382
and,7113,and,5.4,0.9897
from,6107,from,5.66,1.1886
at,8481,at,4.9,1.233
of,8632,of,4.82,1.207
us,4778,us,5.94,1.634
to,8622,to,4.84,0.9971
leave,9101,leave,4.4,1.6782
as,7720,ace,5.2,0.9476
it,6908,it,5.46,0.9082
the,7738,the,5.2,0.4518
at,8481,at,4.9,1.233
the,7738,the,5.2,0.4518
heart,739,heart,7.3,1.4743
of,8632,of,4.82,1.207
with,4746,with,5.94,1.0382
china,6013,china,5.68,1.4907
war,9970,war,2.04,1.6777
will,3693,will,6.18,1.4241
be,6108,be,5.66,1.3188
in,5638,in,5.76,1.1704
in,5638,in,5.76,1.1704
coming,3968,coming,6.12,1.0622
days,2728,days,6.44,1.198
says,6092,says,5.66,0.9817
in,5638,in,5.76,1.1704
as,7720,ace,5.2,0.9476
a,7551,to,5.26,0.8762
new,1136,new,7.06,1.4057
is,7326,is,5.34,0.6581
the,7738,the,5.2,0.4518
of,8632,of,4.82,1.207
s,8214,s,5.02,0.5147
dark,9044,dark,4.48,1.9192
like,792,like,7.26,1.3822
our,4864,our,5.92,1.3974
describe,5436,described,5.8,1.0498
of,8632,of,4.82,1.207
after,7120,after,5.4,1.5253
s,8214,s,5.02,0.5147
on,4026,on,6.1,1.1995
after,7120,after,5.4,1.5253
war,9970,war,2.04,1.6777
in,5638,in,5.76,1.1704
the,7738,the,5.2,0.4518
s,8214,s,5.02,0.5147
so,7403,SW,5.32,0.9355
from,6107,from,5.66,1.1886
sea,5331,is,5.82,1.0821
to,8622,to,4.84,0.9971
us,4778,us,5.94,1.634
says,6092,says,5.66,0.9817
in,5638,in,5.76,1.1704
gas,7630,gas,5.24,1.3486
will,3693,will,6.18,1.4241
fall,8963,fall,4.56,1.6557
before,7891,before,5.16,0.9971
too,5442,too,5.8,1.0102
long,5964,long,5.68,1.3619
war,9970,war,2.04,1.6777
to,8622,to,4.84,0.9971
as,7720,ace,5.2,0.9476
us,4778,us,5.94,1.634
to,8622,to,4.84,0.9971
and,7113,and,5.4,0.9897
how,6150,how,5.64,1.2249
uk,3985,uk,6.12,1.6368
have,3975,have,6.12,1.2558
to,8622,to,4.84,0.9971
war,9970,war,2.04,1.6777
in,5638,in,5.76,1.1704
ex,9370,ex,3.92,1.4961
set,6047,set,5.66,1.1178
to,8622,to,4.84,0.9971
be,6108,be,5.66,1.3188
pm,5653,pm,5.76,1.4365
after,7120,after,5.4,1.5253
party,116,party,8.0,0.9897
s,8214,s,5.02,0.5147
win,391,win,7.6,1.3248
people,1388,people,6.92,1.4405
are,6907,are,5.46,0.9941
thinking,1264,thinking,6.98,1.237
the,7738,the,5.2,0.4518
of,8632,of,4.82,1.207
the,7738,the,5.2,0.4518
war,9970,war,2.04,1.6777
on,4026,on,6.1,1.1995
my,4590,my,5.98,1.2534
has,6624,have,5.52,1.2656
how,6150,how,5.64,1.2249
s,8214,s,5.02,0.5147
war,9970,war,2.04,1.6777
is,7326,is,5.34,0.6581
its,7812,its,5.18,1.0631
rural,4875,rural,5.92,1.5497
end,9287,end,4.08,1.5628
of,8632,of,4.82,1.207
an,8054,an,5.08,0.5284
era,8237,era,5.0,1.069
death,9985,death,1.82,1.3506
of,8632,of,4.82,1.207
as,7720,ace,5.2,0.9476
s,8214,s,5.02,0.5147
berlin,1990,berlin,6.66,1.6734
moment,5082,moment,5.88,1.1891
white,3997,white,6.1,1.2164
house,1402,house,6.92,1.5887
as,7720,ace,5.2,0.9476
gas,7630,gas,5.24,1.3486
us,4778,us,5.94,1.634
israel,7820,Israel,5.18,1.6499
war,9970,war,2.04,1.6777
on,4026,on,6.1,1.1995
s,8214,s,5.02,0.5147
call,5403,call,5.8,1.2936
for,7412,for,5.32,1.6092
uk,3985,uk,6.12,1.6368
to,8622,to,4.84,0.9971
have,3975,have,6.12,1.2558
s,8214,s,5.02,0.5147
on,4026,on,6.1,1.1995
time,5596,time,5.76,1.5722
for,7412,for,5.32,1.6092
a,7551,to,5.26,0.8762
change,4257,change,6.06,1.596
to,8622,to,4.84,0.9971
keep,4304,keep,6.04,1.2771
time,5596,time,5.76,1.5722
china,6013,china,5.68,1.4907
s,8214,s,5.02,0.5147
says,6092,says,5.66,0.9817
war,9970,war,2.04,1.6777
should,8560,Should,4.86,1.2779
never,9450,never,3.76,1.598
have,3975,have,6.12,1.2558
of,8632,of,4.82,1.207
s,8214,s,5.02,0.5147
and,7113,and,5.4,0.9897
baby,492,baby,7.5,1.4743
start,2379,start,6.54,1.3881
to,8622,to,4.84,0.9971
have,3975,have,6.12,1.2558
in,5638,in,5.76,1.1704
uk,3985,uk,6.12,1.6368
after,7120,after,5.4,1.5253
from,6107,from,5.66,1.1886
bush,9296,bush,4.08,1.7939
sr,7142,sr,5.4,1.4569
to,8622,to,4.84,0.9971
the,7738,the,5.2,0.4518
and,7113,and,5.4,0.9897
of,8632,of,4.82,1.207
us,4778,us,5.94,1.634
in,5638,in,5.76,1.1704
the,7738,the,5.2,0.4518
of,8632,of,4.82,1.207
as,7720,ace,5.2,0.9476
it,6908,it,5.46,0.9082
on,4026,on,6.1,1.1995
s,8214,s,5.02,0.5147
as,7720,ace,5.2,0.9476
he,7232,I,5.36,1.1021
to,8622,to,4.84,0.9971
out,9270,out,4.12,1.409
us,4778,us,5.94,1.634
war,9970,war,2.04,1.6777
help,8839,help,4.68,1.7779
to,8622,to,4.84,0.9971
on,4026,on,6.1,1.1995
uk,3985,uk,6.12,1.6368
growing,2203,growing,6.58,1.1968
from,6107,from,5.66,1.1886
to,8622,to,4.84,0.9971
bases,5414,basis,5.8,1.178
of,8632,of,4.82,1.207
us,4778,us,5.94,1.634
service,4435,service,6.02,1.1337
members,5335,members,5.82,1.1726
at,8481,at,4.9,1.233
air,2130,air,6.62,1.3231
base,6879,base,5.46,1.0343
are,6907,are,5.46,0.9941
in,5638,in,5.76,1.1704
uk,3985,uk,6.12,1.6368
and,7113,and,5.4,0.9897
where,7223,where,5.36,0.8981
s,8214,s,5.02,0.5147
for,7412,for,5.32,1.6092
as,7720,ace,5.2,0.9476
a,7551,to,5.26,0.8762
dream,504,dream,7.5,1.0926
the,7738,the,5.2,0.4518
where,7223,where,5.36,0.8981
uk,3985,uk,6.12,1.6368
help,8839,help,4.68,1.7779
vital,1478,vital,6.88,1.2395
from,6107,from,5.66,1.1886
s,8214,s,5.02,0.5147
not,9400,not,3.88,1.5471
to,8622,to,4.84,0.9971
and,7113,and,5.4,0.9897
change,4257,change,6.06,1.596
us,4778,us,5.94,1.634
israel,7820,Israel,5.18,1.6499
war,9970,war,2.04,1.6777
on,4026,on,6.1,1.1995
us,4778,us,5.94,1.634
at,8481,at,4.9,1.233
base,6879,base,5.46,1.0343
in,5638,in,5.76,1.1704
uk,3985,uk,6.12,1.6368
after,7120,after,5.4,1.5253
of,8632,of,4.82,1.207
surge,4240,arises,6.06,1.2521
in,5638,in,5.76,1.1704
on,4026,on,6.1,1.1995
of,8632,of,4.82,1.207
urge,9159,urges,4.3,1.488
uk,3985,uk,6.12,1.6368
to,8622,to,4.84,0.9971
of,8632,of,4.82,1.207
in,5638,in,5.76,1.1704
uk,3985,uk,6.12,1.6368
by,7502,by,5.28,0.8581
and,7113,and,5.4,0.9897
israel,7820,Israel,5.18,1.6499
in,5638,in,5.76,1.1704
after,7120,after,5.4,1.5253
to,8622,to,4.84,0.9971
find,3923,find,6.12,1.4234
s,8214,s,5.02,0.5147
the,7738,the,5.2,0.4518
of,8632,of,4.82,1.207
how,6150,how,5.64,1.2249
a,7551,to,5.26,0.8762
s,8214,s,5.02,0.5147
online,1214,online,7.0,1.2778
propaganda,9045,propaganda,4.48,1.432
how,6150,how,5.64,1.2249
many,2846,many,6.4,1.1066
american,6004,american,5.68,1.6092
should,8560,Should,4.86,1.2779
die,9916,die,2.44,1.6433
for,7412,for,5.32,1.6092
this,7190,this,5.38,0.5303
on,4026,on,6.1,1.1995
war,9970,war,2.04,1.6777
with,4746,with,5.94,1.0382
it,6908,it,5.46,0.9082
on,4026,on,6.1,1.1995
over,9221,over,4.2,1.5649
as,7720,ace,5.2,0.9476
ai,7875,ai,5.16,1.4194
family,407,family,7.58,1.7034
in,5638,in,5.76,1.1704
after,7120,after,5.4,1.5253
office,4144,office,6.08,1.3827
an,8054,an,5.08,0.5284
list,6454,list,5.58,1.1622
latin,3921,latin,6.12,1.3498
america,3060,america,6.34,1.8584
s,8214,s,5.02,0.5147
to,8622,to,4.84,0.9971
florida,1724,Florida,6.78,1.3596
days,2728,days,6.44,1.198
on,4026,on,6.1,1.1995
about,7168,acerca,5.38,0.8303
the,7738,the,5.2,0.4518
us,4778,us,5.94,1.634
war,9970,war,2.04,1.6777
on,4026,on,6.1,1.1995
to,8622,to,4.84,0.9971
stay,5496,stay,5.78,1.6573
out,9270,out,4.12,1.409
of,8632,of,4.82,1.207
or,7628,or,5.24,1.0214
face,1471,face,6.88,1.2558
as,7720,ace,5.2,0.9476
it,6908,it,5.46,0.9082
war,9970,war,2.04,1.6777
air,2130,air,6.62,1.3231
after,7120,after,5.4,1.5253
at,8481,at,4.9,1.233
in,5638,in,5.76,1.1704
on,4026,on,6.1,1.1995
and,7113,and,5.4,0.9897
pm,5653,pm,5.76,1.4365
says,6092,says,5.66,0.9817
should,8560,Should,4.86,1.2779
be,6108,be,5.66,1.3188
from,6107,from,5.66,1.1886
line,6666,line,5.52,0.9528
of,8632,of,4.82,1.207
war,9970,war,2.04,1.6777
us,4778,us,5.94,1.634
lets,5529,lets,5.78,1.016
india,4005,Indian woman,6.1,1.233
buy,2698,buy,6.44,1.2149
after,7120,after,5.4,1.5253
s,8214,s,5.02,0.5147
as,7720,ace,5.2,0.9476
and,7113,and,5.4,0.9897
about,7168,acerca,5.38,0.8303
of,8632,of,4.82,1.207
bases,5414,basis,5.8,1.178
on,4026,on,6.1,1.1995
after,7120,after,5.4,1.5253
met,6048,met,5.66,1.0022
of,8632,of,4.82,1.207
al,7914,to the,5.14,0.6392
s,8214,s,5.02,0.5147
sexual,1712,sexual,6.78,1.6449
if,7721,if,5.2,0.9476
they,6274,They,5.62,1.0859
don,3568,gift,6.22,1.5158
t,8488,t,4.9,1.1473
stop,8772,stop,4.74,1.2906
will,3693,will,6.18,1.4241
into,7402,into,5.32,0.8908
describe,5436,described,5.8,1.0498
night,1130,night,7.06,1.2521
of,8632,of,4.82,1.207
terror,9610,terror,3.36,2.4139
the,7738,the,5.2,0.4518
stay,5496,stay,5.78,1.6573
of,8632,of,4.82,1.207
the,7738,the,5.2,0.4518
in,5638,in,5.76,1.1704
international,1095,international,7.08,1.4686
and,7113,and,5.4,0.9897
the,7738,the,5.2,0.4518
of,8632,of,4.82,1.207
with,4746,with,5.94,1.0382
at,8481,at,4.9,1.233
war,9970,war,2.04,1.6777
to,8622,to,4.84,0.9971
leave,9101,leave,4.4,1.6782
after,7120,after,5.4,1.5253
he,7232,I,5.36,1.1021
over,9221,over,4.2,1.5649
over,9221,over,4.2,1.5649
gold,802,gold,7.26,1.7001
and,7113,and,5.4,0.9897
as,7720,ace,5.2,0.9476
of,8632,of,4.82,1.207
as,7720,ace,5.2,0.9476
it,6908,it,5.46,0.9082
of,8632,of,4.82,1.207
euros,1211,euros,7.02,1.2856
in,5638,in,5.76,1.1704
and,7113,and,5.4,0.9897
gold,802,gold,7.26,1.7001
from,6107,from,5.66,1.1886
in,5638,in,5.76,1.1704
canada,1047,canada,7.1,1.5017
may,5776,may,5.72,1.4574
have,3975,have,6.12,1.2558
been,7001,been,5.44,0.8609
by,7502,by,5.28,0.8581
say,5334,say,5.82,1.0631
from,6107,from,5.66,1.1886
uk,3985,uk,6.12,1.6368
about,7168,acerca,5.38,0.8303
us,4778,us,5.94,1.634
on,4026,on,6.1,1.1995
a,7551,to,5.26,0.8762
says,6092,says,5.66,0.9817
where,7223,where,5.36,0.8981
do,6091,do,5.66,1.3032
we,4698,we,5.96,1.5513
go,3027,go,6.34,1.3032
what,7863,what,5.16,1.0947
it,6908,it,5.46,0.9082
s,8214,s,5.02,0.5147
like,792,like,7.26,1.3822
being,3598,being,6.2,1.3248
an,8054,an,5.08,0.5284
when,7444,When,5.3,0.8391
start,2379,start,6.54,1.3881
your,4568,your,5.98,0.9145
from,6107,from,5.66,1.1886
one,5456,one,5.8,1.3851
to,8622,to,4.84,0.9971
another,5908,another,5.7,1.0546
look,2668,look,6.46,1.2488
on,4026,on,6.1,1.1995
in,5638,in,5.76,1.1704
horror,9871,horror,2.64,1.495
as,7720,ace,5.2,0.9476
is,7326,is,5.34,0.6581
not,9400,not,3.88,1.5471
venezuela,6588,Venezuela,5.54,1.6928
s,8214,s,5.02,0.5147
of,8632,of,4.82,1.207
us,4778,us,5.94,1.634
security,2521,security,6.5,1.488
over,9221,over,4.2,1.5649
of,8632,of,4.82,1.207
by,7502,by,5.28,0.8581
us,4778,us,5.94,1.634
israel,7820,Israel,5.18,1.6499
s,8214,s,5.02,0.5147
over,9221,over,4.2,1.5649
name,5276,name,5.84,0.9971
of,8632,of,4.82,1.207
spanish,961,spanish,7.16,1.4049
the,7738,the,5.2,0.4518
at,8481,at,4.9,1.233
the,7738,the,5.2,0.4518
and,7113,and,5.4,0.9897
by,7502,by,5.28,0.8581
in,5638,in,5.76,1.1704
in,5638,in,5.76,1.1704
to,8622,to,4.84,0.9971
war,9970,war,2.04,1.6777
can,4820,dog,5.92,1.2262
the,7738,the,5.2,0.4518
of,8632,of,4.82,1.207
around,5756,around,5.74,1.1395
help,8839,help,4.68,1.7779
in,5638,in,5.76,1.1704
the,7738,the,5.2,0.4518
us,4778,us,5.94,1.634
israel,7820,Israel,5.18,1.6499
and,7113,and,5.4,0.9897
a,7551,to,5.26,0.8762
why,9046,why,4.48,1.1822
is,7326,is,5.34,0.6581
pedro,6008,pedro,5.68,0.9781
the,7738,the,5.2,0.4518
only,8003,only,5.1,1.4743
to,8622,to,4.84,0.9971
take,5568,take,5.78,1.1301
on,4026,on,6.1,1.1995
will,3693,will,6.18,1.4241
not,9400,not,3.88,1.5471
way,5820,way,5.72,1.3254
for,7412,for,5.32,1.6092
over,9221,over,4.2,1.5649
war,9970,war,2.04,1.6777
to,8622,to,4.84,0.9971
get,4500,get,6.0,1.5908
a,7551,to,5.26,0.8762
done,2222,done,6.58,1.3415
with,4746,with,5.94,1.0382
tel,5612,tel,5.76,1.2216
as,7720,ace,5.2,0.9476
it,6908,it,5.46,0.9082
how,6150,how,5.64,1.2249
the,7738,the,5.2,0.4518
go,3027,go,6.34,1.3032
to,8622,to,4.84,0.9971
for,7412,for,5.32,1.6092
the,7738,the,5.2,0.4518
world,1577,world,6.84,1.3456
to,8622,to,4.84,0.9971
watch,3723,watch,6.18,1.0821
global,1813,global,6.74,1.3969
i,7992,i,5.12,0.5938
think,2786,think,6.42,1.4155
i,7992,i,5.12,0.5938
could,6101,Could,5.66,1.1886
run,2617,run,6.48,1.2162
even,5670,even,5.74,1.2423
the,7738,the,5.2,0.4518
israel,7820,Israel,5.18,1.6499
south,4879,south,5.92,1.2591
after,7120,after,5.4,1.5253
