"Rank","Word","Word in English","Happiness Score","Standard Deviation of Ratings"
"93","riendo","laughing","8.04","0.9681"
"94","mexico","mexico","8.04","1.293"
"95","jajajajajaa","jajajajajaa","8.02","1.5971"
"96","enamoro","fall in love","8.02","0.9998"
"97","sorpresa","surprise","8.02","1.1156"
"98","hermosos","beautiful","8.02","0.9366"
"99","regalo","gift","8.02","0.8204"
"100","besarte","kiss","8.02","1.237"
"101","imaginación","imagination","8.02","0.9581"
"102","festejando","celebrating","8.02","0.9366"
"103","besa","kisses","8.02","0.9998"
"104","kisses","kisses","8.02","1.0398"
"105","jajajajajaja","hahahahahaha","8","1.2778"
"106","corazón","heart","8","0.9476"
"107","playita","playita","8","1.1249"
"108","playas","beaches","8","1.0302"
"109","amoor","amoor","8","1.5518"
"110","felizz","felizz","8","1.4569"
"111","celebración","celebration","8","1.0302"
"112","amo♥","love ♥","8","1.7023"
"113","bellas","beautiful","8","1.1066"
"114","guapa","lovely","8","0.9897"
"115","gratis","free","8","1.1066"
"116","party","party","8","0.9897"
"117","beautiful","beautiful","7.98","1.0398"
"118","amistades","friends","7.98","0.9145"
"119","jajajaa","jajajaa","7.98","1.1865"
"120","amigo","friend","7.98","1.1516"
"121","abrazo","hug","7.98","0.9792"
"122","hermoso","beautiful","7.98","0.9366"
"123","pelicula","movie","7.98","1.02"
"124","smile","smile","7.98","1.2696"
"125","familia","family","7.98","1.1156"
"126","reír","laugh","7.96","1.261"
"127","amistad","friendship","7.96","1.1241"
"128","besar","kiss","7.96","1.3242"
"129","libertad","freedom","7.96","1.3845"
"130","abuela","grandmother","7.96","1.049"
"131","christmas","christmas","7.96","1.3087"
"132","beach","beach","7.94","1.1141"
"133","jajaja","lol","7.94","1.0184"
"134","delicious","delicious","7.94","1.0382"
"135","gracias","thanks","7.94","1.0184"
"136","regalos","gifts","7.94","1.1323"
"137","enamoran","fast","7.94","1.2191"
"138","jajajajajajaj","jajajajajajaj","7.94","1.4057"
"139","gozar","enjoy","7.94","0.9982"
"140","enamorar","love","7.94","1.0956"
"141","jajajaja","lol","7.92","1.0467"
"142","besitos","kisses","7.92","0.9223"
"143","celebrar","celebrate","7.92","1.1036"
"144","maravilla","wonder","7.92","1.2428"
"145","paradise","paradise","7.92","1.2262"
"146","bello","beautiful","7.92","1.14"
"147","delicioso","delicious","7.92","0.9223"
"148","besito","kiss","7.92","1.2095"
"149","rie","rie","7.92","1.3068"
"150","jajajajaa","jajajajaa","7.92","1.6015"
"151","abuelita","granny","7.92","1.2428"
"152","reir","laugh","7.92","1.3827"
"153","enamore","fall in love","7.92","1.066"
"154","gratuito","free","7.9","1.0738"
"155","amores","loves","7.9","1.0738"
"156","mami","Mommy","7.9","1.1112"
"157","divertida","fun","7.9","1.0546"
"158","fortuna","fortune","7.9","1.1112"
"159","naturaleza","nature","7.9","1.165"
"160","dreams","dreams","7.9","0.9313"
"161","amado","beloved","7.9","1.1294"
"162","papá","dad","7.9","1.359"
"163","inspiration","inspiration","7.9","1.1294"
"164","espectacular","spectacular","7.9","1.0926"
"165","peliculas","Movies","7.9","1.1824"
"166","amiga","female friend","7.9","1.0351"
"167","triunfos","triumphs","7.88","1.0999"
"168","pizza","pizza","7.88","1.3346"
"169","ganar","win","7.88","1.1183"
"170","kiss","kiss","7.88","1.507"
"171","bonito","nice","7.88","1.023"
"172","creatividad","creativity","7.88","1.0029"
"173","belleza","beauty","7.88","1.2229"
"174","postre","dessert","7.88","1.1891"
"175","perfect","perfect","7.86","1.3852"
"176","Éxitos","Successes","7.86","1.2456"
"177","amooooo","amooooo","7.86","1.8627"
"178","gracioso","funny","7.86","1.1068"
"179","cine","cinema","7.86","1.0304"
"180","sano","healthy","7.86","1.1608"
"181","peace","peace","7.86","1.3095"
"182","cariño","affection","7.86","0.9899"
"183","película","movie","7.86","1.143"
"184","felicitar","congratulate","7.86","1.0882"
"185","oro","gold","7.86","1.0304"
"186","¡gracias","Thank you","7.86","1.5254"
"187","abuelos","grandparents","7.86","1.0692"
"188","fiesta","party","7.86","1.143"
"189","linda","cute","7.86","1.0882"
"190","chocolate","chocolate","7.86","1.2456"
"191","bonitas","beautiful","7.86","1.1954"
"192","teamo","gor","7.84","1.6826"
"193","music","music","7.84","1.3149"
"194","amore","amore","7.84","1.3607"
"195","bondad","goodness","7.84","1.2014"
"196","loves","loves","7.84","1.2014"
"197","free","free","7.84","1.2993"
"198","ganancias","earnings","7.82","1.1008"
"199","birthday","birthday","7.82","1.2567"
"200","good","good","7.82","1.0631"
"201","enamora","love","7.82","1.1373"
"202","contenta","happy","7.82","1.1726"
"203","jajajajaj","hahaha","7.82","1.5345"
"204","ganador","winner","7.82","1.2403"
"205","sana","healthy","7.82","1.1899"
"206","optimismo","optimism","7.82","1.2887"
"207","internet","Internet","7.82","1.1726"
"208","gratitud","gratitude","7.82","1.0631"
"209","exitoso","successful","7.82","1.4384"
"210","canciones","Songs","7.82","1.0039"
"211","novios","boyfriends","7.82","1.2728"
"212","estrella","star","7.8","1.178"
"213","viernes","Friday","7.8","1.3553"
"214","fiestas","parties","7.8","1.3401"
"215","aventura","adventure","7.8","1.2778"
"216","jajajaaja","jajajaaja","7.8","1.5908"
"217","cumpleaños","birthday","7.8","1.3093"
"218","ajajajaj","ajajajaj","7.8","1.3997"
"219","flores","flowers","7.8","0.9258"
"220","felizzz","felizzz","7.8","2.0603"
"221","amooo","amooo","7.8","1.6162"
"222","amoooo","amoooo","7.8","1.6413"
"223","campeón","champion","7.8","1.3248"
"224","mar","sea","7.8","1.069"
"225","chistes","jokes","7.8","1.178"
"226","grandeza","greatness","7.8","1.0102"
"227","novia","bride","7.8","1.1952"
"228","poesía","poetry","7.78","1.0359"
"229","hahahaha","hahahaha","7.78","1.3445"
"230","campeon","champion","7.78","1.2171"
"231","precioso","beautiful","7.78","1.183"
"232","jajajajajja","jajajajajja","7.78","1.8327"
"233","mexicano","Mexican","7.78","1.3293"
"234","genial","brilliant","7.78","0.9957"
"235","concierto","concert","7.78","1.1119"
"236","hermanos","brethren","7.78","1.0554"
"237","sueños","dreams","7.78","1.4184"
"238","bonita","nice","7.78","1.183"
"239","miamor","miamor","7.78","1.5945"
"240","solidaridad","solidarity","7.78","1.2337"
"241","viajar","travel","7.78","1.3293"
"242","ajajaja","ajajaja","7.78","1.4039"
"243","simpatía","sympathy","7.78","0.9957"
"244","disfrutar","enjoy","7.78","1.1119"
"245","bailar","dance","7.76","1.2545"
"246","pretty","pretty","7.76","1.2545"
"247","juguetes","toys","7.76","1.0214"
"248","tranquilidad","tranquility","7.76","1.1704"
"249","festejos","celebrations","7.76","1.2048"
"250","positiva","positive","7.76","1.0797"
"251","soñar","dream","7.76","1.2707"
"252","fun","fun","7.76","1.6233"
"253","sexy","sexy","7.76","1.3334"
"254","guapo","handsome","7.76","1.3024"
"255","jajjajaja","jajjajaja","7.76","1.9853"
"256","mama","mamma","7.76","1.4647"
"257","riqueza","wealth","7.76","1.4786"
"258","viajes","travel","7.74","1.209"
"259","universo","universe","7.74","1.1747"
"260","luna","moon","7.74","1.2747"
"261","perfecto","perfect","7.74","1.6138"
"262","comida","food","7.74","1.3063"
"263","dulces","confectionery","7.74","1.192"
"264","satisfacción","satisfaction","7.74","1.1572"
"265","películas","movies","7.74","1.209"
"266","taco","wad","7.74","1.2586"
"267","jajajaj","jajajaj","7.74","1.4682"
"268","libertades","freedoms","7.74","1.0461"
"269","piñata","piñata","7.74","1.1214"
"270","volar","fly","7.74","1.1747"
"271","sabado","Saturday","7.72","1.0887"
"272","rock","rock","7.72","1.3559"
"273","juventud","youth","7.72","1.1613"
"274","graciaas","graciaas","7.72","1.1613"
"275","friend","friend","7.72","1.1613"
"276","sorpresas","surprises","7.72","1.1959"
"277","valiente","brave","7.72","1.1959"
"278","reí","laughed","7.72","1.3407"
"279","ajaja","Spoonbill","7.72","1.3407"
"280","gratuitos","Free","7.72","1.1613"
"281","best","best","7.72","1.2129"
"282","premios","awards","7.72","1.0506"
"283","perfecta","perfect","7.72","1.1256"
"284","armonía","harmony","7.72","1.0506"
"285","premium","premium","7.72","1.1436"
"286","geniales","great","7.72","1.3099"
"287","lindo","cute","7.72","1.0698"
"288","comedia","comedy","7.7","0.9949"
"289","papás","Dads","7.7","1.3286"
"290","bienvenido","welcome","7.7","1.1824"
"291","lindas","cute","7.7","1.0546"
"292","alegrias","joys","7.7","1.5152"
"293","amoo","amoo","7.7","1.2817"
"294","jajaaja","jajaaja","7.7","1.3286"
"295","positivas","positive","7.7","1.1473"
"296","poema","poem","7.7","1.1294"
"297","gloria","glory","7.7","1.2657"
"298","cena","dinner","7.7","1.1112"
"299","excelencia","excellence","7.7","1.6067"
"300","virtud","virtue","7.7","0.9949"
"301","juegos","games","7.68","1.019"
"302","logro","achievement","7.68","1.4348"
"303","jajajja","jajajja","7.68","1.2848"
"304","héroes","Heroes","7.68","1.3005"
"305","chiste","joke","7.68","1.1683"
"306","positivo","positive","7.68","1.3768"
"307","familias","families","7.68","1.0583"
"308","exito","success","7.68","1.7893"
"309","#felizañonuevo","# Felizañonuevo","7.68","1.6218"
"310","hermano","brother","7.68","1.3468"
"311","premio","award","7.68","1.449"
"312","tacos","taco","7.68","1.4205"
"313","baile","dance","7.68","1.1147"
"314","buenisima","buenisima","7.68","1.3005"
"315","descansar","rest","7.68","0.9134"
"316","salud","health","7.68","1.3768"
"317","hahahahah","hahahahah","7.68","1.6591"
"318","aceptado","accepted","7.68","1.2196"
"319","entretenimiento","entertainment","7.68","1.1328"
"320","hogar","home","7.68","1.2362"
"321","agradecer","thank","7.66","1.1359"
"322","bonitos","beautiful","7.66","1.1178"
"323","pastel","cake","7.66","1.2056"
"324","entusiasmo","enthusiasm","7.66","1.1713"
"325","fiel","faithful","7.66","1.423"
"326","sueña","dreams","7.66","0.9817"
"327","funny","funny","7.66","1.1537"
"328","ideal","ideal","7.66","1.0994"
"329","you♥","you ♥","7.66","1.6734"
"330","padres","Parents","7.66","1.2875"
"331","mexicana","Mexican","7.66","1.239"
"332","cantar","sing","7.66","1.239"
"333","festejo","celebration","7.66","1.2715"
"334","sol","sun","7.66","1.1537"
"335","estrellas","stars","7.66","1.2056"
"336","luz","light","7.66","1.0422"
"337","jejejejeje","jejejejeje","7.66","1.2875"
"338","brillante","bright","7.66","1.0806"
"339","inteligencia","intelligence","7.64","1.1021"
"340","canción","song","7.64","1.1563"
"341","conciertos","concerts","7.64","1.2415"
"342","disfrutando","enjoy","7.64","1.3211"
"343","árbol","tree","7.64","1.2898"
"344","agua","water","7.64","1.2898"
"345","cantando","singing","7.64","1.1563"
"346","bienestar","welfare","7.64","1.2578"
"347","esperanza","hope","7.64","1.2249"
"348","amable","friendly","7.64","1.1739"
"349","artes","arts","7.64","1.0645"
"350","querida","mistress","7.64","1.0053"
"351","jugar","play","7.64","1.0835"
"352","hahahahaha","hahahahaha","7.64","1.6507"
"353","barato","cheap","7.64","1.0254"
"354","favorita","Favorite","7.64","1.0254"
"355","encantas","encantas","7.64","1.1911"
"356","mujer","woman","7.64","1.2739"
"357","viaje","trip","7.64","1.1563"
"358","infancia","childhood","7.62","1.2271"
"359","pasión","passion","7.62","1.2271"
"360","movie","movie","7.62","1.1933"
"361","esperanzas","hopes","7.62","1.2436"
"362","welcome","welcome","7.62","1.3231"
"363","jajajaaj","jajajaaj","7.62","1.9261"
"364","admiración","admiration","7.62","1.4553"
"365","rica","rich","7.62","1.0859"
"366","amigas","friends","7.62","1.4412"
"367","hermana","sister","7.62","1.1761"
"368","tequiero","tequiero","7.62","1.5894"
"369","aprobada","approved","7.62","1.1761"
"370","jejejeje","hehehehe","7.62","1.0476"
"371","extraordinaria","extraordinary","7.62","1.3076"
"372","amas","love","7.62","1.4968"
"373","lealtad","loyalty","7.62","1.2436"
"374","increible","incredible","7.62","1.1761"
"375","abundancia","abundance","7.62","1.0859"
"376","festival","festival","7.62","1.1761"
"377","camita","cot","7.62","1.2271"
"378","bebé","baby","7.62","1.5238"
"379","emoción","emotion","7.62","1.1933"
"380","bien","well","7.62","0.9875"
"381","perfectos","perfect","7.62","1.4693"
"382","jajajajja","jajajajja","7.62","1.276"
"383","imaginar","imagine","7.62","1.276"
"384","logros","achievements","7.6","1.4142"
"385","adoro","love","7.6","1.069"
"386","verano","summer","7.6","1.3997"
"387","helado","ice","7.6","1.3093"
"388","niños","children","7.6","1.1249"
"389","soñando","dreaming","7.6","0.9035"
"390","jajjaja","jajjaja","7.6","1.5518"
"391","win","win","7.6","1.3248"
"392","cielo","sky","7.6","1.2454"
"393","jajajjaja","jajajjaja","7.6","1.8952"
"394","jaja","haha","7.6","1.2122"
"395","tqm","tqm","7.6","1.5649"
"396","fortaleza","fortress","7.6","1.1249"
"397","pareja","couple","7.6","1.178"
"398","videojuegos","game","7.6","1.4428"
"399","buena","good","7.6","1.069"
"400","artístico","artistic","7.58","1.1445"
"401","amazing","amazing","7.58","1.295"
"402","nacer","be born","7.58","1.1622"
"403","loved","loved","7.58","1.553"
"404","carnaval","carnival","7.58","1.4299"
"405","feeeliz","feeeliz","7.58","2.1198"
"406","vivo","live","7.58","1.3107"
"407","family","family","7.58","1.7034"
"408","ama","love","7.58","1.4995"
"409","hahahah","hahahah","7.58","1.4441"
"410","vive","lives","7.58","1.2631"
"411","ternura","tenderness","7.58","1.401"
"412","árboles","trees","7.58","1.0515"
"413","disfruta","enjoy","7.58","1.1622"
"414","yeah","yeah","7.58","1.3415"
"415","#happynewyear","# Happynewyear","7.58","1.7853"
"416","navidades","Christmas","7.58","1.8193"
"417","earth","earth","7.58","1.3262"
"418","músicos","musicians","7.58","1.2304"
"419","perrito","puppy","7.58","1.1622"
"420","felicito","Congratulations","7.56","1.0333"
"421","uvas","grapes","7.56","1.1095"
"422","playing","playing","7.56","1.091"
"423","exitos","successes","7.56","1.445"
"424","universidades","universities","7.56","1.2961"
"425","inteligentes","Smart","7.56","1.1457"
"426","thanks","thanks","7.56","1.0529"
"427","aventuras","Adventures","7.56","1.4868"
"428","extraordinario","extraordinary","7.56","1.3273"
"429","éxitos","successes","7.56","1.3426"
"430","calidad","quality","7.56","1.0721"
"431","amando","loving","7.56","1.3273"
"432","amiguita","girlfriend","7.56","1.2316"
"433","tesoro","treasure","7.56","1.198"
"434","feeliz","feeliz","7.56","2.1108"
"435","verdad","truth","7.56","1.1808"
"436","hahahha","hahahha","7.56","1.4868"
"437","vidaa","vidaa","7.56","1.7975"
"438","#teamo","# Gor","7.56","2.2238"
"439","paisaje","landscape","7.56","1.2643"
"440","chula","chula","7.56","1.3118"
"441","descansando","resting","7.56","1.2961"
"442","increíble","incredible","7.54","1.3126"
"443","hahahahahahaha","hahahahahahaha","7.54","1.9295"
"444","nuevo","new","7.54","1.2651"
"445","jajaa","jajaa","7.54","1.2651"
"446","sábado","Saturday","7.54","1.3126"
"447","celebra","held","7.54","1.3433"
"448","awesome","awesome","7.54","1.7049"
"449","lindos","cute","7.54","1.2969"
"450","latinoamérica","Latin America","7.54","1.1466"
"451","ganó","won","7.54","1.2969"
"452","bosques","forests","7.54","1.1287"
"453","lotería","lottery","7.54","1.5677"
"454","viva","alive","7.54","1.3734"
"455","juego","game","7.54","1.1287"
"456","bebés","Babies","7.54","1.5414"
"457","song","song","7.54","1.3433"
"458","rico","rich","7.54","1.5677"
"459","bienvenida","welcome","7.54","1.0343"
"460","encantan","love","7.54","1.0343"
"461","latinoamericanos","American","7.54","1.2488"
"462","gratuita","free","7.54","1.1466"
"463","musical","musical","7.54","1.1988"
"464","dormir","sleep","7.54","1.4458"
"465","celebrando","celebrating","7.54","1.3126"
"466","enjoy","enjoy","7.54","1.1817"
"467","parís","Paris","7.52","1.6567"
"468","fantasía","fantasy","7.52","1.1292"
"469","sí","yes","7.52","1.3589"
"470","innovación","innovation","7.52","1.015"
"471","mascotas","pets","7.52","1.4602"
"472","dulce","sweet","7.52","0.9528"
"473","life","life","7.52","1.4602"
"474","bienvenidos","welcome","7.52","0.9311"
"475","favorito","favorite","7.52","1.1993"
"476","nuevos","new","7.52","1.2656"
"477","favorite","favorite","7.52","1.4177"
"478","guapos","handsome","7.52","1.4462"
"479","mujeres","women","7.52","1.3589"
"480","próspero","prosperous","7.52","1.1822"
"481","sex","sex","7.52","1.5016"
"482","vivos","living","7.52","1.3738"
"483","millon","million","7.52","1.568"
"484","primavera","spring","7.52","1.015"
"485","viajero","traveler","7.52","1.5151"
"486","encanta","love","7.5","1.2164"
"487","agradable","nice","7.5","1.165"
"488","piscina","pool","7.5","1.1294"
"489","masajes","Massage","7.5","1.1294"
"490","hola","hello","7.5","1.165"
"491","gustar","like","7.5","1.2495"
"492","baby","baby","7.5","1.4743"
"493","favoritos","Favorites","7.5","1.1473"
"494","dormiré","sleep","7.5","1.0738"
"495","jjajaja","jjajaja","7.5","1.7173"
"496","impresionante","awesome","7.5","1.0152"
"497","querido","dear","7.5","1.165"
"498","respeto","respect","7.5","1.0546"
"499","suerte","luck","7.5","1.2495"
"500","sexo","sex","7.5","1.7409"
"501","plenitud","fullness","7.5","1.2495"
"502","animo","encourage","7.5","1.233"
"503","hope","hope","7.5","1.4463"
"504","dream","dream","7.5","1.0926"
"505","billetes","bills","7.5","1.3286"
"506","auténtico","authentic","7.5","1.0926"
"507","libremente","loosely","7.5","1.1294"
"508","home","home","7.5","1.4321"
"509","brothers","brothers","7.5","1.233"
"510","woman","woman","7.48","1.4032"
"511","libres","Free","7.48","1.3589"
"512","joven","young","7.48","1.1822"
"513","leal","loyal","7.48","1.3285"
"514","quererte","love you","7.48","1.2162"
"515","favoritas","Favorite","7.48","1.3886"
"516","champagne","champagne","7.48","1.2974"
"517","relax","relax","7.48","1.2329"
"518","princesa","princess","7.48","1.2974"
"519","hijo","son","7.48","1.3438"
"520","riquezas","wealth","7.48","1.4177"
"521","héroe","hero","7.48","1.2656"
"522","domingo","Sunday","7.48","1.5151"
"523","alimentos","food","7.48","1.313"
"524","hermanito","brother","7.48","1.4032"
"525","frutas","fruits","7.48","1.0736"
"526","millón","million","7.48","1.4177"
"527","inspiración","inspiration","7.48","1.0925"
"528","bellos","beautiful","7.48","1.2656"
"529","jjaja","jjaja","7.46","1.5012"
"530","hahaha","hahaha","7.46","1.5012"
"531","ajajja","ajajja","7.46","1.6189"
"532","creative","creative","7.46","1.2157"
"533","virtudes","virtues","7.46","1.4458"
"534","becas","scholarships","7.46","1.1817"
"535","tierna","tender","7.46","1.073"
"536","feliiiiz","feliiiiz","7.46","2.0224"
"537","verdadero","true","7.46","1.1104"
"538","perfección","perfection","7.46","1.7752"
"539","encantado","delighted","7.46","1.0539"
"540","colores","colors","7.46","1.3126"
"541","yes","yes","7.46","1.1988"
"542","sabio","wise","7.46","1.2157"
"543","milagro","miracle","7.46","1.5414"
"544","ánimo","encouragement","7.46","1.5414"
"545","youtube","youtube","7.46","1.3433"
"546","siiii","siiii","7.46","1.4028"
"547","honorable","honorable","7.46","1.2811"
"548","café","coffee","7.46","1.2324"
"549","victoria","victory","7.46","1.2811"
"550","tierra","land","7.44","1.2316"
"551","madres","mothers","7.44","1.5005"
"552","perfectamente","perfectly","7.44","1.2643"
"553","mariposas","butterflies","7.44","1.1634"
"554","jardines","grounds","7.44","1.2803"
"555","caribe","Caribbean","7.44","1.5928"
"556","aprender","learn","7.44","1.1095"
"557","descubrimiento","discovery","7.44","1.2149"
"558","mexicanos","Mexican","7.44","1.4309"
"559","energía","energy","7.44","1.0529"
"560","corazones","hearts","7.44","1.2643"
"561","rosas","roses","7.44","1.2803"
"562","hermanita","sister","7.44","1.248"
"563","chicas","girls","7.44","1.0529"
"564","tecnología","technology","7.44","1.248"
"565","agradecido","grateful","7.44","1.0134"
"566","ofertas","deals","7.44","1.2316"
"567","ganan","win","7.44","1.2643"
"568","sentimientos","feelings","7.42","1.2469"
"569","fidelidad","fidelity","7.42","1.2631"
"570","imagina","imagine","7.42","1.2304"
"571","animaciones","animations","7.42","0.9495"
"572","espectáculo","show","7.42","1.0897"
"573","tequila","tequila","7.42","1.3262"
"574","educacion","education","7.42","1.1622"
"575","miel","honey","7.42","1.012"
"576","encanto","charm","7.42","1.0708"
"577","queridos","ones","7.42","1.1622"
"578","vidas","lives","7.42","1.1445"
"579","tkm","tkm","7.42","1.6914"
"580","restaurantes","restaurants","7.42","1.2137"
"581","sweet","sweet","7.42","1.2792"
"582","mundo","world","7.42","1.4441"
"583","desayuno","breakfast","7.42","1.1796"
"584","imagine","Imagine","7.42","1.1968"
"585","ferias","fairs","7.42","1.3415"
"586","celebrado","celebrated","7.42","1.1265"
"587","sabios","wise","7.42","1.1622"
"588","valores","values","7.42","1.1968"
"589","jardín","garden","7.4","1.1066"
"590","disfruté","enjoyed","7.4","1.1066"
"591","girl","girl","7.4","1.3553"
"592","excepcional","exceptional","7.4","1.3553"
"593","limpieza","cleaning","7.4","1.3553"
"594","frutos","fruits","7.4","1.1606"
"595","disfruten","enjoy","7.4","1.2936"
"596","jejeje","lol","7.4","1.1952"
"597","muchisimo","a lot","7.4","1.3401"
"598","descuento","discount","7.4","1.3093"
"599","diosa","goddess","7.4","1.2289"
"600","artista","artist","7.4","1.088"
"601","juega","plays","7.4","1.0302"
"602","university","university","7.4","1.2289"
"603","wii","wii","7.4","1.3851"
"604","ayudar","help","7.4","1.2454"
"605","aprobado","approved","7.4","1.4846"
"606","agradezco","thank","7.4","1.1606"
"607","gusta","like","7.4","1.1606"
"608","cenando","dining","7.4","1.2122"
"609","familiar","family","7.4","1.6036"
"610","jajjaa","jajjaa","7.38","1.9576"
"611","dinero","money","7.38","1.6399"
"612","vegetación","vegetation","7.38","1.3231"
"613","universitarios","university","7.38","1.276"
"614","tecnológica","technological","7.38","1.2599"
"615","humor","humor","7.38","1.2103"
"616","ideas","Ideas","7.38","1.1409"
"617","conocimiento","knowledge","7.38","1.1229"
"618","december","december","7.38","1.6022"
"619","súper","super","7.38","1.0859"
"620","musicales","musical","7.38","1.3076"
"621","femenino","female","7.38","1.3076"
"622","gana","desire","7.38","1.4553"
"623","máximo","maximum","7.38","1.2436"
"624","maestría","mastery","7.38","1.3076"
"625","beatles","beatles","7.38","1.5894"
"626","honor","honor","7.38","1.3384"
"627","familiares","family","7.38","1.3981"
"628","matrimonio","marriage","7.38","1.4126"
"629","better","better","7.38","1.2436"
"630","señorita","Ms.","7.38","1.2436"
"631","boda","wedding","7.38","1.783"
"632","cenar","dine","7.38","1.0476"
"633","mejor","best","7.38","1.1586"
"634","útil","useful","7.38","1.0859"
"635","ganas","forward","7.38","1.1933"
"636","gane","win","7.38","1.6149"
"637","restaurante","restaurant","7.38","1.1409"
"638","sun","sun","7.38","1.2103"
"639","angeles","angels","7.38","1.2919"
"640","bañarme","bathe","7.38","1.1761"
"641","maximo","Maximum","7.38","1.276"
"642","travel","travel","7.38","1.2599"
"643","health","health","7.38","1.1761"
"644","flan","flan","7.38","1.3076"
"645","bendiciones","blessings","7.36","1.6874"
"646","cultura","culture","7.36","1.2249"
"647","palomitas","Popcorn","7.36","1.1739"
"648","ganando","gaining","7.36","1.0254"
"649","eficiente","efficient","7.36","1.3365"
"650","destacados","Highlights","7.36","1.2578"
"651","baila","dance","7.36","1.2578"
"652","aprobación","approval","7.36","1.0053"
"653","abuelo","grandfather","7.36","1.5618"
"654","ecología","ecology","7.36","1.1739"
"655","idea","idea","7.36","1.1911"
"656","mejores","top","7.36","1.1205"
"657","hahahahahaha","hahahahahaha","7.36","2.0875"
"658","cancion","song","7.36","1.3211"
"659","great","great","7.36","1.6132"
"660","saludar","greet","7.36","1.0645"
"661","flor","flower","7.36","1.0451"
